index,content,A,B,C,D,ans,科目
1,在古诗复习课上，教师指导学生整理用“月”来表达思乡之情的古诗名句，下列适合的是（）。,深林人不知，明月来相照。（王维《竹里馆》）,露从今夜白，月是故乡明。（杜甫《月夜忆舍弟》）,从今若许闲乘月，拄杖无时夜叩门。（陆游《游山西村》）,我寄愁心与明月，随君直到夜郎西。（李白《闻王昌龄左迁龙标遥有此寄》）,B,语文
2,教师在讲授律诗的颈联需要对仗这一规则时，下列适合作为例子的是（）。,千山鸟飞绝，万径人踪灭。（柳宗元《江雪》）,朔气传金柝，寒光照铁衣。（《木兰诗》）,乱花渐欲迷人眼，浅草才能没马蹄。（白居易《钱塘湖春行》）,山河破碎风飘絮，身世浮沉雨打萍。（文天祥《过零丁洋》）,C,语文
3,在小说复习课上，教师引导学生学习科幻小说类型，下列属于科幻小说的是（）。,杨利伟《太空一日》,刘慈欣《带上她的眼睛》,阿城《溜索》,卞毓麟《月亮是从哪里来的》,B,语文
4,教学周敦颐的《爱莲说》时，教师要求学生整理使用“托物言志”表现手法的作品，下列适合的是（）。,梁衡《壶口瀑布》,茅盾《白杨礼赞》,汪曾祺《昆明的雨》,史铁生《秋天的怀念》,B,语文
5,教学李白《行路难（其一）》，教师让学生阅读同样表现了诗人不得意时豁达乐观的古诗，下列作品适合选用的是（）。,杜甫《春望》,王维《九月九日忆山东兄弟》,陈子昂《登幽州台歌》,刘禹锡《酬乐天扬州初逢席上见赠》,D,语文
6,教学《狼》时，教师要求学生举出一个与“方欲行，转视积薪后”中“方”的意义用法相同的例子，下列适合的是（）。,有朋自远方来（《论语》）,春蚕到死丝方尽（李商隐《无题》）,今齐地方千里（《战国策·齐策一》）,所谓伊人，在水一方（《诗经·秦风》）,B,语文
7,教师对《中国石拱桥》《苏州园林》《人民英雄永垂不朽》三篇课文所组成的单元进行整体教学，下列教学目标适合的是（）。,认识说明对象，理解说明方法，感受说明语言。,把握情感基调，体会思想感情，品味语言之美。,通过诵读训练，想象景物描写，领略景物之美。,认识建筑特点，理解人与自然，深化自我反思。,A,语文
8,教学“活动·探究”戏剧单元，教师设计教学任务单元，下列不适合的是（）。,“阅读与思考”重在剧本阅读，掌握阅读的策略。,“准备与排练”要鼓励学生积极参与，分工合作。,“演出与评议”要以排出一出好戏作为评价标准。,根据学生的学习实际，适当设计延伸拓展活动。,C,语文
9,教研组学习义务教育语文课程标准，围绕“课程理念”开展研讨，下列认识不正确的是（）。,语文课程应突出基础性，使学生初步学会运用国家通用语言文字进行交流沟通。,课程内容应突出时代性，体现数字时代语言生活的新发展和学习资源的新变化。,课程实施应突出实践性，目的是使学生获得家庭、校园、社会的相关生活经验。,课程评价应突出过程性，重视增值评价，关注学生学习过程和个体的进步幅度。,C,语文
10,老师们在年级“语文实践活动”时表达了各种看法，下列认识正确的是（）。,义务教育语文课程以语文实践活动为主线，综合构建素养型课程目标体系。,系统学习和准确记忆语文学科知识的概念是开展语文实践活动的必要条件。,语文实践活动就是指以学习主题为引领、以学习任务为载体的语文学习任务群。,通过阅读与写作、梳理与探究、情感态度价值观等语文实践活动发展核心素养。,A,语文
11,"阅读某教师关于综合性学习的教学片段，按照要求答题。
围绕“身边的文化遗产”主题，引导学生开展综合性学习，我将学生的学习活动分为三个阶段。第一阶段，“文化遗产我来寻”。确定小组名单，利用互联网和图书馆查阅文化遗产资料。小组之间相互交流，确定申遗项目，制作申遗方案。第二阶段，“申遗报告我来写”，考察文化遗产，整理相关资料，撰写申遗报告。第三阶段，撰写答辩稿，制作PPT，小组代表汇报演讲，评选最佳申遗小组。对上述教学案例片段的相关分析，不正确的是（）。",第一阶段小组活动全员参与，能够发挥各自的特长,搜集整理文化遗产资料，培养信息筛选和整合能力,撰写申遗报告和答辩稿，体现语文跨学科学习特点,最佳申遗小组的评选标准即本学习活动的评价标准,D,语文
12,"阅读某教师名著导读教学片段，按照要求答题。
《骆驼祥子》名著导读，意在引导学生掌握圈点批注的阅读方法。我怕学生不爱读，就给学生放同名电影：带着他们去做《骆驼祥子》的小报和思维导图；把历年的相关试题给学生做，做到最后，发现圈点与批注的指导少了些。
对上述教学反思的相关分析，正确的是（）。",阅读名著要读整本的书，在阅读实践中学会圈点批注等读书方法。,名著阅读的主要目的就是了解故事情节，看电影也可以了解情节。,做小报和思维导图是阅读名著必不可少的方法，学生活动最重要。,多做相关试题，能够高效地解决学生阅读名著原文有困难的问题。,A,语文
13,"阅读某教师《灯笼》教学实录片段，按照要求答题。
生：（读课文）“乡俗还愿，唱戏、挂神袍而外，常在村头高挑一盏红灯。仿佛灯柱上还照例有些松柏枝叶作点缀。挂红灯，自然同盛（学生读chéng）伏舍茶、腊八施粥一样，有着行好的意思；松柏枝叶的点缀，用意却不甚了然。真是，若有孤行客，黑夜摸路，正自四面虚惊的时候，忽然发现星天下红灯高照，总会以去村不远而默默高兴起来的吧
师：“盛”是多音字。你为什么要把“盛”这个字读作chéng呢？
生：我根据前文“挂红灯”是一个动宾短语判断，盛伏舍茶是一个动宾短语，我不知道盛伏舍茶是一种什么茶。
师：有道理，但有同学不同意，听听他们的意见。
生：老师，我关注了标点符号。“盛伏舍茶、腊八施粥”之间是顿号，表示这两个短语关系更密切，所以可以根据“腊八施粥”的结构推断“盛伏”与“腊八”一样是表示时间的。我从积累的“盛夏”这个词，想到这个词在这里读作shèng伏。
师：你根据标点符号在语境中的作用进行思考，并且能从“盛夏”类推“盛伏”，很会学习！
生：老师，我继续向后看，发现这三个短语在这段话里都表达“行好”的意思。黑夜里挂红灯是行好。寒冷的腊八施粥是行好，所以“盛伏舍茶”是炎热的日子里给人凉茶，也是行好。刚才同学提醒我“盛夏”这个词，那“盛伏”就应该是最热的伏天了。
师：大家的发言太精彩了！
对上述教学案例的相关分析，不正确的是（）。",教师根据语言文字运用的实际需要，从具体的实例出发进行教学,教师从读准字音入手，引导学生综合运用多种语文知识解决问题,教师注重知识的积累与运用，围绕相关知识及时明确了相关概念,教师的评价语言引导学生关注语境，根据语境理解具体词语含义,C,语文
14,他是我国著名作曲家、音乐教育家，代表作品有《天涯歌女》《四季歌》《嘉陵江上》等。这位作曲家是（）。,赵元任,冼星海,聂耳,贺绿汀,D,音乐
