index,content,A,B,C,D,ans
1,自由活动时，孩子们刚开始还能够小声地说话。不一会儿，声音越来越大。有的嘻嘻哈哈，有的竟然大吼大叫。对此。钱老师的做法恰当的是,终止孩子们的自由活动,批评几个比较闹的孩子,提醒孩子们要注意纪律,提醒孩子们声音小一些,D
2,"离园时，慧慧不愿意回家，提出想和高老师多玩一会，慧慧说:老师总是和牛牛玩,让我自己玩。下列高老师的说法恰当的是",慧慧，老师是陪伴你少了些，明天老师来多陪你玩!,你要学会多和其他小朋友玩,慧慧，今天先和妈妈回家，老师以后再陪你玩!,慧慧，你自己玩得就封号，可牛牛他们不会玩!.,A
3,贝贝比较内向，不太愿意与人交流，孙老师对小朋友们说:“早上来要向老师问好哦!第二天早上，每当小朋友进到教室，孙老师就鞠躬问好，小朋友礼貌地向老师问好，贝贝也贴在孙老师的耳边小声说“老师早上好!”孙老师的做法体现教育角色是,引导者,学习者,研究者,合作者,A
4,某幼儿园围绕“语言、健康、艺术、科学、社会”等板块组织教师探索主题式游戏幼儿主题游戏探究活动手册，下列各项对于该做法判断不正确的是,凸显了资源开发的创造性,遵循了幼儿发展的整体性,实现了资源整合的协作性,尊重了幼儿发展的差异性,D
5,公安机关想就一起刑事案件到校咨询未成年强强，根据《中华人民共和国国未成年人保护法》他们应当:,通知强强的监护人到场,通知所在社区代表到场,征得教育行政部门同意,获得当地人民法院授权,A
6,依据《中华人民共和国宪法》下列对国务院行使职权的表述不正确的是,领导和管理国防建设事业,领导和管理民政、公安、司法行政等工作,领导和管理对外事务，同外国缔结条约和协定,领导和管理教育、科学、文化、卫生、体育和工作,C
7,某民办幼儿园聘用陈某担任教师，经查询得知其缓期一年执行，下列说法正确的是,陈某故意犯罪获刑，不能从事教师职业,陈某不能当带班老师，但可以做保育员,陈某服刑期已满，可以从事教师职业,陈某被判缓刑，民办幼儿园可以聘用,A
8,户外活动时，幼儿教师王某没有检查场地就带领小朋友们做游戏，亮亮在转身奔跑躲闪时突然滑倒，导致骨折。对亮亮所受伤害应承担赔偿责任的是,亮亮的法定监护人,幼儿园,幼儿园老师王某,教师王某,B
9,中国很多法院都没有少年法庭审理未成年人犯罪案件、有媒体采访时，也要求对未成年人的图像和照片进行技术处理，并用化名代替他们的真实姓名，下列说法不正确的是,这体现了对未成年人的司法保护,这体现了对未成年人的隐私权保护,这体现了对未成年人名誉权和荣誉权的保护,这体现了对未成年人的社会保护,D
10,依据《中华人民共和国教师法》，下列不属于教师权利的是,开展教学改革,从事科学研究,指导学生学习,招收管理学生,D
11,李老师受聘于某民办幼儿园从事教育教学工作，依据《中华人民共和国教师法》对于李老师的待遇负有保障责任的是,当地教育行政部门,该幼儿园的举办者,上级教育行政部门,该幼儿园的园长,B
12,依据联合国《儿童权利公约》，下列有关儿童教育目的的说法正确的是,优先发展儿童的个性，才智和身心能力,确保儿童养成对于自然的崇拜和敬畏之心,培养儿童对所居住的国家民族价值观的尊重,使得所有儿童均能得到职业方面的训练和指导,A
13,明明在幼儿园各种活动中总是无法安静下来，影响到班级活动的正常进行，经过医院诊断，明明患有注意缺陷多动障碍，明明的老师应该,将其交保健医生治疗,配合医院进行矫治,要求家长将其带回家,让其痊愈后再入园,B
14,王老师正在讲龟龟赛跑的故事，朵朵忽然大声问:“老师，兔子怎么可以睡觉呢?这可是比赛啊!”于是，王老师组织小朋友们就此展开讨论。下列选项与该案例所体现的教师职业道德要求相符的是,“视徒如己，反己以教”,“学然后知不足，教然后知困”,“善歌者，使人继其声，善教者，使人缝其志”,“故君子之教喻也，道而弗牵，强而弗抑，开而弗达”,C
15,打雷了，接着下起了大雨，萌萌很好奇，反复地问夏老师:“老师，为什么先打雷后下雨呀?”夏老师虽然心里有些不耐烦，但还是很耐心地对萌萌解释了原因，夏老师的行为体现的职业道德功能是,享用功能,引导功能,评价功能,激励功能,B
16,涛涛对平平说:“你脑子进水了吗?”何老师就问涛涛听谁说过这句话，涛涛说爸爸经常这么说，何老师一听，马上打电话给涛涛爸爸训斥了一番，何老师的做法,正确，老师有权利教育涛涛爸爸,正确，老师有义务教育涛涛爸爸,不正确，老师应指导家长进行家庭教育,不正确，老师应该与涛涛爸爸保持一致,C
17,“板块构造学说”认为地球由若干板块组成，这些板块“漂浮”在软流层上，下列选项中。在该学说中不存在的版块是,欧亚版块,太平洋版块,非洲版块,北冰洋版块,D
