index,content,A,B,C,D,ans
1,何老师上课时很少提教材上有现成答案的题，而是提一些容易引起学生讨论的问题。这表明何老师（）。,忽视文化知识的传播,注重学科结构的完善,忽视学生实践能力的培养,注重学生思维能力的培养,D
2,某小学举办运动会，为营造气氛，学校从五年级挑选40名女生，让她们穿高跟鞋化浓妆组成模特方队。开幕式上，这个方阵的出现引起了轰动。该校的做法（）。,有利于激发学生创新,有利于学生强身健体,不符合学生年龄特点,不符合教育公平要求,C
3,某校长在期末总结会上说：“XX学生成绩远超其他学校，成功的法宝就是把最好的资源集中在语文、数学、英语单科上，并缩减综合实践活动课时，将缩减的课时用在重点学科的学习上。”这种做法（）。,有利于教育质量提升,不利于学生全面发展,有利于重点学科学习,不利于教师自我提升,B
4,新入职的杨老师为了上好课，积极研究学科教学知识，主动向教研员请教，还坚持写教学日志。对杨老师的做法，下列评价不恰当的是（）。,注重专家引领,注重自我研修,注重自我反思,注重校本研修,D
5,某新建居民区需设置一所学校，依据《中华人民共和国义务教育法》关于该学校的建设，下列做法正确的是（）。,应在该居民区建成前交付使用,应与该居民区的建设同步进行,可在该居民区建成后调整规划,可根据该居民区入住情况取消设置,B
6,根据《中华人民共和国教育法》规定，税务机关依法足额征收教育费附加，由教育行政部门统筹管理，主要用于实施（）。,学前教育,义务教育,职业教育,高等教育,B
7,教师王某通过了硕士研究生入学考试，学校以王某服务期未满、学校教师不足为由不予批准王某在职学习。王某欲以剥夺其参加进修权利为由提出申诉，受理申诉的机构应当是（）。,同级人民政府,上一级人民政府有关部门,教育行政部门,检察机关,C
8,学生玩手机，沉迷网络，老师多次提醒，屡教不改。对此，学校可采取的教育管理措施是（）。,要求参加校内服务活动,予以训诫,责令接受心理辅导、行为矫治,责令具结悔过,C
9,李某和张某在校内发生了争执。李某父亲是该校老师。放学后，李某父亲在回家路上打伤了学生张某。这起事故中，应承担赔偿责任的是（）。,李某父亲,学校和李某父亲,张某父亲,学校,A
10,依据《中华人民共和国宪法》，中华人民共和国的一切权力属于（）。,人民,国务院,全国人民代表大会,工农联盟,A
11,小张是个淘气包，成绩不太好。有次老师和他谈心，发现他很会打篮球，并鼓励他去参加篮球社团。然后就让他担任xx队长，一个学期后他在各方面都有进步。该老师的做法没有体现（）。,教育责任的自觉性,教育效果的延时性,教育影响的连续性,教育方法的迁移性,D
12,张桂梅校长说：“现在的‘苦’，是一种我愿意付出的苦。因为我有一个清晰的目标，我要把孩子们带出大山，我要去实现它。有目标就有了干劲儿，就不觉得那么苦了。”这体现了她的（）。,精神性,客观性,被给予性,集体性,A
13,被称为“植物中的活化石”的是（）。,紫薇,白桦,黄栌,银杏,D
14,波在波源移向观察者时接收频率变高，而在波源远离观察者时接收频率变低，是什么效应？（）,多普勒效应,丁达尔效应,蝴蝶效应,光电效应,A
15,文庙在中国古代是庙学合一的建筑群，大多是各地的最高学府，在日本、东南亚和朝鲜也有设立。它所供奉和祭祀的人物是（）。,孔子,屈原,诸葛亮,文天祥,A
16,中国古钱币多为金属铸币，有一定的形状、大小、重量、成色，币面多有文字标记，以铜钱、银锭为主，也有铁钱、铅钱、金饼等。圆形方孔是中国古代铜钱的基本造型。下列选项中，最早出现的圆形方孔钱是（）。,半两钱,五铢钱,开元通宝,永乐通宝,A
17,“百科全书”是以条目为单元，汇集阐述各科门类或某一门类知识的较完备的辞书。法国启蒙运动时期编撰出版的《百科全书》是世界上影响巨大、具有重大历史意义的现代百科全书。这部《百科全书》的主编是（）。,培根,席勒,狄德罗,伏尔泰,C
18,奥地利作曲家约翰·施特劳斯一生创作了数百首舞曲，《蓝色多瑙河》是其代表作之一。该曲以旋转舞步的快速律动为特征，通常用以伴奏的舞蹈是（）。,伦巴,波尔卡,探戈,华尔兹,D
19,打击乐器指由于敲打乐器本身而发音的一类乐器，音色因乐器材料的不同而各异。中国古代发明了多种打击乐器，下列选项中，多以石和玉为材料的打击乐器是（）。,钟,锁,磬,鼓,C
20,在Windows操作系统下，如果删除了桌面上某个应用程序的快捷方式目标，则该应用程序的状态是（）。,已被删除,未被删除,不能使用,功能受限,B
21,在PowerPoint幻灯片浏览视图下，按住Ctrl键并拖动某张幻灯片，可实现的功能是（）。,移动幻灯片,删除幻灯片,复制幻灯片,选定幻灯片,C
22,下列选项中，与“学科—数学”的逻辑关系一致的是（）。,“植物”和“松树”,“大学”和“中学”,“动物”和“化石”,“暴风”和“台风”,A
23,找规律填数字是一个有趣的活动，特别锻炼观察和思考能力。下列选项中，填入数列“4、9、17、35、（）、139”空缺处的数字，正确的是（）。,56,69,92,111,B
24,“古之王者建国军民，教学为先。”这向话出自,《论语》,《学记》,《孟子》,《大学》,B
25,学者根据原始社会没有学校、师和教材的史实，认为数有起源与儿童观对成人本能的、无意识的模仿。这种观点称为,生物起源论,神话起源论,劳动起源论全人,心理起源论,D
26,主张“教育即生长”“教育即生活”的实用主义教育家是,洛克,赫尔巴特,杜威,果斯基,C
27,地大力扶持薄弱学校，组织优秀教师到薄弱学校任教。这种做法主要是为了,促进教育均衡,促进教育民主,维护教育尊严,提高教育效率法,A
28,小学组织学生参加“重走长征路，学习长征精神”活动。这一活动采用的德育方法是,自我修养法,榜样示范法,制度育德法,实际锻炼法,D
29,了使少先队员感受到组织的力量，更深刻地认识到少先队的举行的如敬礼、唱队歌等活动属于,主题队,阵地活动,礼仪活动,夏令营活动,C
30,小威同学认为，凡是大人赞同的就是对的，根据科尔伯格的理论，他的道德认知发展处于,惩罚与服从取向阶段,好孩子阶段,维护权威阶段,社会契约阶段,B
31,小明与同学讨论问题时，常常坚持自己的想法，不易受他人观点的影响。这种认知风格属,冲动型,沉思型,场依存型理,场独立型,D
32,为了更好的理解与掌握叶的功能，小辉在老师的指导下，用思维导图梳理了叶的光合作用、叶的呼吸作用等知识点，他采用的学习策略是,组织策略,精加工策略,复述策略,元认知策略,A
33,见月晕而知有风，由础润而知有雨，这反映了人的思维是有,直接性,间接性,流畅性,创造性,B
