index,content,A,B,C,D,ans
1,卢老师所教班级的学生表现出较强的问题解决能力，当年轻老师来请教“锦囊妙计”时，卢老师说：“哪有什么妙计，我只不过是把教学当做是教孩子走路，上课时逐渐从背着走到带着走，最后让学生自己走。”卢老师的做法()。,尊重了学生的选择性,尊重了学生的差异性,尊重了学生的独立性,尊重了学生的独特性,C
2,在家长的强烈要求下，某校将高三年级所有自习课都安排给语文、数学、英语学科上辅导课，高考时这几科取得了好成绩。该校的做法()。,违背了均衡发展的要求,背离了学生全面发展的要求,遵循了学生发展的规律,符合社会对人才质量的要求,B
3,在学习惰性气体时，张老师给学生讲述科学家发现惰性气体的故事，最后说道：“同学们要向科学家学习，千万别做‘惰性气体’”。对张老师的做法，下列说法恰当的是()。,上课讲述无关内容，导致教学效率低下,把化学课上成历史课，值得大力推广,上课时讲故事，势必分散学生的注意力,挖掘教学的教育性，凸显学科育人价值,D
4,通过走访本地民间艺人和查阅文献，王老师收集了大量的地方戏曲作品，从中精选了一批优秀作品引入课堂，这表明王老师具有()。,校本研修能力,课程开发意识与能力,教学反思能力,艺术创作意识与能力,B
5,依据《中华人民共和国教育法》税务机关依法足额征收教育费附加，由教育行政部门统筹管理，主要用于实施()。,高等教育,职业教育,学前教育,义务教育,D
6,每当有老师提出学校改革与发展的建议时，王校长总是回答“教师的本职工作是教学，你只需要把教学工作做好就行，至于学校管理，那主要是领导的事情，就不用你们操心了。”王校长的说法()。,正确，教师的使命就是教书育人,正确，教师只能通过教代会提出建议,不正确，未能充分尊重教师管理学校设施经费的权利,不正确，未能充分尊重教师参与学校民主管理的权利,D
7,某新建居民区需设置一所学校，依据《中华人民共和国义务教育法》，关于该学校的建设，下列说法正确的是()。,应在该居民区建成前交付使用,可在该居民区建成后调整规划,应该与居民区的建设同步进行,可根据该居民区入住情况取消设置,C
8,贾某自离婚后意志消沉，经常酗酒，动辄对年幼的孩子进行体罚和打骂。对于贾某的这种行为，当地居民委员会可以采取的措施是()。,予以劝诫和制止,给予警告处分,责令其具结悔过,给予行政处罚,A
9,某初中班主任李老师发现班上同学邬某今天又旷课了，依据《中华人民共和国预防未成年人犯罪法》，李老师应当采取的措施是()。,及时与邬某所在地的居民委员会取得联系,及时与邬某的父母或其他监护人取得联系,立即向当地教育行政部门报告,立即向当地民政部门请求帮助,B
10,某次实验课，王老师详细地讲解了有关操作和注意事项，还为学生规范地演示了操作。学生林某上课不认真听讲，在进行实验时违反操作规范，造成3名同学受伤，在这起事故中，应承担主要法律责任的是()。,林某,王老师,林某与学校,林某与王老师,A
11,依据《中华人民共和国宪法》，全国人民代表大会通过法律应由()。,全体代表的过半数通过,全体代表三分之二通过,全体代表四分之三通过,全体参会代表全票通过,A
12,教师何某认为学校侵犯其利益，向当地教育行政部门提出申诉，依据《中华人民共和国教师法》，当地教育行政部门对此做出处理的期限是()。,接到申诉的15日内,接到申诉的30日内,接到申诉的45日内,接到申诉的60日内,B
13,看见两名学生在教室里相互推搡，田老师当即把两人训斥了一顿，责令两人各写一份检讨书。田老师的做法()。,体现了对学生的严格要求,体现了对学生的一视同仁,违背了师生关系的平等性,违背了师生关系的先天性,B
14,曾老师担心家长的介入会干扰自己对班级的管理，因此从不主动与学生家长联系，也不接听家长的电话。曾老师的做法违背的是()。,教师职业公正的实质性,教师职业公正的教育性,教师职业义务的自觉性,教师职业义务的精神性,D
15,马上就要检查卫生了，班主任王老师发现子铭课桌旁有几张小纸条，便要子铭捡起来。子铭轻声说：“又不是我扔的，我为什么要捡?”王老师耐心地说：“虽然不是你扔的，但是保持班级卫生，人人有责。”于是王老师走过去把纸条捡了起来。下列选项与该案例所体现的教师职业道德要求相符的是()。,“人之情，爱同于己者，誉同于己者，助同于己者”,“不去小利则大利不得，不去小忠则大忠不至”,“师严，然后道尊。道尊，然后民知敬学”,“爱之，能勿劳乎?忠焉，能勿诲乎?”,A
16,作为政协委员，蒋老师积极呼吁有关部门净化校园周边环境，近两年，校门口不再出现社会青年索要学生财物的事情。在学校里，蒋老师开设选修课，让学生掌握保护自己的方法。蒋老师的做法()。,体现了教师良心的内在性,体现了教师关怀的对等性,体现了教师幸福的集体性,体现了教师公正的教育性,A
17,全国各省都有简称，其中下列省份与简称不一致的是()。,河北——冀,海南——粤,河南——豫,湖北——鄂,B
18,气象灾害预警信号是为有效防御和减轻气象灾害，向社会公众发布的彩色警报信号。按灾害的严重程度、紧急程度和发展态势设为4级。下列选项中，按一般、较重、严重和特别严重的顺序，排列正确的是()。,黄色橙色蓝色红色,黄色蓝色红色橙色,蓝色黄色橙色红色,蓝色黄色红色橙色,C
19,考古学文化专指考古发现中可供人们观察到的属于同一时代、分布于共同地区，并且具有共同特征的一群遗存，大多以第一次发现的典型遗址的地点命名。下列选项中，对中国考古学文化，按时间先后排序正确的是()。,二里头文化→龙山文化→良渚文化→河姆渡文化,二里头文化→良渚文化→龙山文化→河姆渡文化,河姆渡文化→龙山文化→良渚文化→二里头文化,河姆渡文化→良渚文化→龙山文化→二里头文化,D
20,春秋时期，周天子的权威日渐式微，诸侯互相征伐，争霸夺权，在争霸斗争中，向对方承诺交战时“退避三舍”的人物是()。,楚庄王,晋文公,吴王阖闾,越王勾践,B
21,世界上第一本述及小孔成像现象的著作是()。,《老子》,《管子》,《孟子》,《墨子》,D
22,街舞的起源地是()。,韩国,法国,英国,美国,D
23,新中国成立前夕，中国人民政治协商会议第一届全体会议在1949年9月29日通过的文件中，有一份文件具有临时宪法的作用，该文件的简称是()。,《建国纲领》,《政协纲领》,《协商纲领》,《共同纲领》,D
24,琴与瑟是比较相似的两种乐器，皆由木制，带有空腔，以丝绳为弦。琴一般用于在宾客面前弹拨，瑟则用于背景音乐的弹奏，古代常将两者的联合演奏比喻夫妻感情的和谐。琴多用七弦，瑟的弦数通常是()。,十二,二十二,二十五,五十,C
25,下列关于因特网中IP地址和主机名之间关系的表述，正确的是,一个合法的外部P地址在一个的刻只能分配给一台主机,一个合法的外部IP地址在一个时刻只能分配给多台主机,多个合法的外部IP地址在一个时刻只能分配给一台主机,多个合法的外部IP地址在一个时刻不能分配给多台主机,A
26,下列选项中与“湖泊—高原湖泊—青海湖”的逻辑关系一致的,书–历史书-《汉书》,蔬菜-番茄-黄瓜,教师-中学-教师校长,球-地球-乒乓球,A
27,12，84，246，()，2190。,730,732,736,738,B
28,"以”捧着一颗心来，不带半根草去”的赤子之心,为中国教育的发展探寻新路，被毛泽东称为”伟大的人民教育家”是（）。",陶行知,黄炎培,晏阳初,蔡元培,A
29,下列选项中，教育家与其提出的理论对应正确的是（)。,巴班斯基——教学与发展理论,加涅——结构主义教学理论,赞科夫——教学过程最优化理论,洛扎诺夫——范例教学理论,A
30,马克思主义理论认为人与劳动相结合是人发展的主要途径，但是在教育史上，曾有过漫长的一段人与劳动相脱离的历史，这段历史主要是从()开始的。,原始社会,奴隶社会,封建社会,资本主义社会,B
31,"一个生而失明的孩子,很难被培养成一个画家。这反映的影响人的身心发展因素是()",遗传,环境,教育,主观能动性,A
32,舒尔茨的人力资木论表明（）。,教育对人口结构的影响,教育对生产力的促进作用,教育对文化的制约作用,教育对政治经济的制约作用,B
33,中国的学制类型属于（）。,双轨制,单轨制,多轨制,分支制,D
34,教科书的编排形式主要是（）。,综合式和分支式,学科式和活动式,直线式和螺旋式,统一式和分散式,C
35,在我国当前普通高中课程方案中，明确规定研究性学习是哪类课程?,必修课程,选修课程,地方课程,学科课程,A
36,为了避免学生考试作弊，学校制定了相关制度，规定凡在考试中作弊者，一律取消参与各种荣誉评选的资格。这种做法属于哪种德育方法?,榜样示范法,品德评价法,自我修养法,说服教育法,B
37,在皮亚杰儿童道德发展阶段理论的划分中，公正道德阶段是（）岁以后。,10,12,14,16,A
38,在一次旅游时，张明一眼就认出了人群中的同学王钢。这体现的主要记忆活动是（),识记,保持,再认,回忆,C
39,刘庆复习历史科目时，按古代史、近代史、现代史的时间顺序构建了历史知识的框架图。她的学习策略主要属于（)。,组织策略,精加工策略,复述策略,资源管理策略,A
40,课本中有标记的地方容易被学生关注。这反映了知觉的哪一种特性?(),整体性,选择性,理解性,恒常性,B
41,刘新阅读速度很快，同学们都说她能一目十行。这种现象属于(),注意的分配,注意的分散,注意的广度,注意的转移,C
42,苏萌为了学好英语，三年来每天早晨朗读英语半小时。这体现的意志品质是(),果断性,冲动性,灵活性,坚韧性,D
43,李辉的学习成绩不太好，感到自卑。为求得心理满足，他经常在同学面前炫耀自己多次获得学校长跑冠军。李辉的这种心理防御机制属于()。,升华,补偿,退行,投射,B
44,张老师在班会上引导学生要为中华民族伟大复兴而努力学习。张老师激发的是学生的哪种学习动机?()。,直接的、近景性动机,直接的、远景性动机,间接的、近景性动机,间接的、远景性动机,D
45,孙英同学同学任丽在公交车上不给老人主动让座的行为感到气愤，属于（）。,道德认知,道德情感,道德意志,道德行为,B
46,"老师把班里的学生分为若千小组，每个小组中学生能力各异,要把他们以互助的方式开展学习活动，共同完成小组目标属于（)。",合作学习,接受学习,替代学习,直接学习,A
47,老师在教学过程中，能够依据学生的水平，年龄特点和个别差异对教学策略进行适当的调整，以提高教学效果这说明()。,认知能力,操作能力,监控能力,计划能力,C
48,某中学增设了国学经典、体能运动、科技发明等校本课程，要求初三学生至少选修两门，此事遭到了部分家长反对，认为占用了学生的中考复习时间，该校做法(),忽视了个体差异,忽视了学习要求,忽视了发展规律,忽视了全面发展,D
49,一学校在数字化办学理念的指导下，建立起过程性数据与关键性事件相结合的学生评价系统，用以跟踪学生在品德、学习、体质等方面的发展，该校做法注重学生的是(),个体性,顺序性,整体性,主观性,C
50,马卡连柯说学生可以原谅老师的严厉、刻板、甚至吹毛求疵，但不能原谅老师不学无术，下列与这句话强调的内容不相关的是(),专业知识与专业态度是为师基础,专业知识与专业能力是为师基础,专业知识与专业精神是为师基础,专业知识与专业自主是为师基础,A
51,某校许多优秀校友在回忆录中都谈到“自己的成长凝聚着各学段许许多多教师的辛勤劳动”，这充分表明教师的劳动具有(),主体性,特殊性,长期性,创造性,C
52,下列无权改变或撤销本级人民代表大会常委会不适当决定的机构是(),乡级,县级,户级,省级,A
53,某校在初三年级中考前进行摸底考试，取消低于一定分数线学生的中考资格。该校做法()。,正确，学校有自主管理学生的权利,正确，学校有组织学生考试的权利,不正确，学校侵犯了学生的受教育权,不正确，学校侵犯学生的人身自由权,C
54,教师江某积极进行教学改革和实验，学校以影响升学率为由予以制止。该校做法(),正确，学校有提升升学率的义务,正确，学校有自主管理教师的权利,不正确，侵犯教师的科学研究权,不正确，侵犯教师的教育教学权,D
55,某中学班主任孙某规定，学生迟到一次，罚款5元，一学期下来总共收到135元，用于班级文化建设。班主任孙某的做法,正确，有利于减少迟到现象,正确，有利于班级文化建设,不正确，教师没有罚款的权利,不正确，应征求家长同意才能罚,C
56,熊某侵占了学校的校舍，用于经营活动。根据《教育法》，熊某应依法承担的责任是(),刑事,民事,行政,补偿,B
57,中学生赵某在辅导老师的指导下，完成一件科技作品参加比赛并获奖，所获荣誉证书应归(),赵某本人,辅导老师,所在学校,所在班级,A
58,"某县民政部门根据需要设立了未成年人救助保护机构,对流浪乞讨且暂时查不到父母或者其他监护人的未成年人实施救助。依据《中华人民共和国未成年人保护法》的规定，民政部门对这些未成年人承担()?",临时照顾责任,临时监护责任,养育责任,监护责任,B
59,"中学生郭某在上课时突发疾病,学校发现后未及时采取相应措施,导致不良后果。关于学校在此事故中承担的法律责任，下列说法正确的是:()",不承担任何责任,承担部分法律责任,仅承担道义责任,承担全部法律责任,D
60,林老师是某公办中学的语文教研组组长，在一次期中考试中，他们带的班级没有取得理想成绩，于是他私下修改了本班成绩。此事被发现后，林老师受到警告处分。依据《中小学教师违反职业道德行为处理办法》正确的是(),由学校提出对林老师处分的建议,对林老师的处分期限为12个月,对林老师的处分要报上级人事部门备案,林老师接受处分期间，学校暂停其教师资格,A
61,莎莎的语文成绩经常不及格，这次考试莎莎的成绩又下降了，她也着急，按往常教语文的陈老师约她到办公室说话。陈老师的说法恰当的是(),你咋又考这么差，明天叫家长,你觉得在学习中哪些方面遇到了困难?,你成绩总提不上来，要不到校外机构培训一下,我这里有模拟卷，你要不要做?,B
62,"李老师和方老师是好朋友，学校每次组织教学评课时。李老师和方老师只评对方的优点,提到不足时往往轻描淡写。对于李老师和方老师的做法不正确的是()?",没有体现自由和责任的结合,没有体现主观性与客观性的统一,没有体现功利性与超功利性的统,没有体现个性与全面的结合,B
63,“闻斯行诸”的故事启示在教学中要()?,注重教育对象的差异性,突出教育方法的特殊性,遵循教育过程的实践性,体现教育评价的多元性,A
64,"战1914到1918年间，协约国和同盟国两大.……战争,以同盟国失败告终，其规模最大的战役是()?",索姆河战役,马思河战役,凡尔登战役,伊普尔战役,A
65,有这样一位建筑学家，他毕生从事中国古建筑的研究和事业，系统的调査、整理了中国古代建筑的历史和理论，是国徽的主要设计人。他是(),李诚,童嵩,梁思成,吴良镛,c
66,下列选项中，属于史蒂芬.霍金的科普著作的是(),《上帝的指教》,《时间简史》,《生命是什么》,《未来时速》,B
67,地理标志是在具有特定地理来源并因该来源而拥有某些品质成声誉的产品上使用的一种标志。下列选项中，中国地理标志产品与原产地所在地区不正确的是(),福鼎白茶-福建安溪,俾县豆瓣-四川成都,文登苹果-山东威海,兴隆咖啡-海南万宁,A
68,"素三彩始于明正德年间，在未上釉的素胎上，施以三色而烧成。之所以称“素""是因不用某一种颜色，是()",绿色,紫色,黄色,红色,D
69,悲剧发源于古希腊。由春季祭祀酒神仪式上的酒神颂演变而成，古希腊产生了三大悲剧作家。下列中不属于的是(),埃斯库罗斯,欧里庇得斯,阿里斯托芬,索福克勒斯,C
70,“号子”是劳动歌的一种，下列中，不是根据民间号子创作的是(),《码头工人歌》,《黄河船夫曲》,《军民大生产》,《沂蒙山小调》,D
71,"化纤又称人造纤维，随着人口增长与耕地减少。棉,麻,毛丝等天然纤维的生产无法满足人类生活和生产需要。化学纤维的地位日渐重要，下列人物中被誉为人造纤维之父的是?",爱迪生,海厄特,卡罗瑟斯,夏尔多内,D
72,在PPT的幻灯片中，通过对其模板的设置，可实现的功能是(),统一整套幻灯片风格,统一标题内容,统一所有图片的格式,统一正文内容,A
73,出席-缺席，逻辑一致的是?,邮件和电邮,灌篮和投篮,取件和派件,网签和签到,C
74,新民主主义革命时期，我国出版的第一部运用马克思主义观点论述教育问题的著作是（）。,舒新城《教育通论》,庄泽宣《教概论》,孟城宪《教育概论》,杨贤江《新教育大纲》,D
75,运用现代系统方法研究教学问题，提出教学过程最优化理论的教育家是（）。,凯洛夫,维果斯基,赞可夫,巴班斯基,D
76,李老师在初二选择了人数，性别比例，学xi成绩，教材各方面情况相同的两个班进行教学，对其中-班采用讲授法，对另一个采用自学辅导法，经过一个阶段的教学后进行测验，以比较两种方法教学效果，李老师采用的方法属于（）。,个案研究,实验研究,行动,调查,B
77,作为有目的培养人的社会实践活动，教育有许多不同形态，其中组织最严密内容最系统的是（）。,学校教育,家庭,社会,终生,A
78,采用一刀切、一锅煮的办法来对待学生的教学，主要违背了人身心发展的哪一特征?（）。,顺序性,个别差异性,稳定,阶段,B
79,马克思教育学认为，造就全面发展的人，唯一方法和根本途径是（）。,教育与社会生活相结合,学校教育与社会教育相结合,教育与生产劳动相结合,学校教育与家庭教育相结合,C
80,由政府提出并反映社会发展的根本需求，现完善学校教育培养人的根本质量规格，对各级各类的学校教育的实施，具有定向调控评价作用的是（）。,培养目标,国家课程,教育目的,课程标准,C
81,泰勒1949年出版的课程与教学的基本原理，被视为现代课程理论的基石，该书用的课程设计原理被称为（）。,过程模式,经验模式,情景模式,目标模式,D
82,当中学生刘敏读到“天苍苍野茫茫，风吹草地牛羊”的诗时，他头脑会浮现出草原美景，这种心理现象是?（）。,无意想象,再造想象,创造想象,不随意想象,B
83,小军不善于与同学交往，孤僻离群，整天忧心忡忡，即使遇到别人毫不在意的小事情，也会多愁善感，小军的气质类型是（）。,多血质,胆汁质,抑郁质,粘液质,C
84,刘文经常思考自己是谁，将来要成为怎样的人，这一类问题，在兴趣爱好、职业选择等方面常出现冲突，令他倍感困惑。根据埃里克森的发展理论，他处于:（）。,同一与角色混乱阶段,勤奋对抗,信任对怀疑,孤独对孤僻,A
85,韩老师能够很好地把握课堂教学目标，设计教学方案，选择恰当的教学方法和教学手段来组织教学。韩老师这种能力是（）。,教学认知能力,教学操作能力,教坚,教反,A
86,杨莉做任何事情都以目标为导向，并力求成功。根据成就动机理论，他最有可能选择的任务成功概率大约为（）。,25%,0.5,75%,1,B
87,张华在思想、情感、态度和行为上主动接受他人的影响，试图使自己的态度和行为与他人保持一致，张华的态度与品德的形成过程处于（）。,依从阶段,接受阶段,认同阶段,内化阶段,C
88,方义的各门功课学习成绩优异，他认为主要取决于自己的能力，根据韦纳的成败归因理论，能力属于（）。,内部、不稳定、可控,内部、不稳定、不可控,内部、稳定、可控,内部、稳定、不可控,D
89,根据福勒等人的教师成长阶段论，教师成长成熟阶段的标志是（）。,关注生存阶段,关注情境阶段,关注教材阶段,关注学生阶段,D
