index,content,A,B,C,D,ans,科目
1,实施“文学阅读与写作”学习任务群教学，教师以“自然情怀”为主题向学生推荐散文作品，下列适合的是（）。,《送东阳马生序》,《始得西山宴游记》,《黄生借书说》,《蓝田县丞厅壁记》,B,语文
2,教研组按照“经、史、子，集”四部分编写“中华传统文化经典研习”的阅读材料，下列篇目适合编入“子”部的是（）。,《烛之武退秦师》,《离骚》,《邹忌讽齐王纳谏》,《劝学》,D,语文
3,教研组针对如何提高运用成语的能力进行讨论，下列说法合适的是（）。,应利用成语结构的稳定性，举一反三，强化记忆。,应开展“成语接龙”活动，提高成语学习积极性。,应在准确理解基础上，把成语纳入具体语境把握。,应加强考查，将成语使用作为阶段检测重要内容。,C,语文
4,古诗词梳理课中，学生整理含有“春风”意象的诗句，下列诗句中“春风”意指“美丽”的是（）。,春风吹落君王耳，此曲乃是升天行（李白《春日行》）,画图省识春风面，环佩空归夜月魂（杜甫《咏怀古迹》）,春风得意马蹄疾，一日看尽长安花（孟郊《登科日》）,谁遣春风入牙颊，诗成忽带小山香（陆游《余邦英惠小山新芽作小诗三首以谢》）,B,语文
5,教学“词语积累与词语解释”单元，教师组织学生梳理含有表示时间的文言词汇的句子，下列不适合的是（）。,平旦，李广乃归其大军（司马迁《史记·李将军列传》）,但以刘日薄西山，气息奄奄（李密《陈情表》）,犹望一稔，当敛裳宵逝（陶渊明《归去来兮辞·并序》）,朝菌不知晦朔，蟪蛄不知春秋，此小年也（庄子《逍遥游》）,B,语文
6,在文言文阅读课上，教师组织学生进行断句练习，下列断句正确的是（）。,圣人以治天下为事者/也必知乱之所自起焉/能治之/不知乱之所自起/则不能治（《墨子·兼爱》）,单于意益得之/乃幽武/置大窖中绝不饮食/天雨雪武/卧啮雪与旃毛并咽之/数日不死（班固《汉书·李广苏建传》）,岂得之难而失之易欤/抑本其成败之迹/而皆自于人欤/书曰/满招损/谦得益（欧阳修《新五代史·伶官传序》）,轩东/故尝为厨人往/从轩前过/余扃牖/而居久之/能以足音辨人/轩凡四遭火得不焚/殆有神护者（归有光《项脊轩志》）,C,语文
7,教学《祝福》，教研组围绕“人物语言具有怎样的个性特征”展开讨论，下列观点不正确的是（）。,祥林嫂“我真傻……”的独白式呓语反复出现，反映出她的自责、追悔与无奈。,鲁四老爷的“可恶”“然而”之类的口头语，表现出这个老儒生的保守与虚伪。,柳妈的“祥林嫂，你实在不合算”等话语，表现出她的迷信守旧且自以为是。,“我”说“也许有吧”“然而也未必”，表现出“我”的封建迷信与虚无思想。,D,语文
8,统编高中语文教材中的许多单元都设置了“单元学习（研习）任务”，对这一板块设置的理解，不恰当的是（）。,呼应“单元导语”,规定学习内容,提供学习支架,提示学习方法,B,语文
9,教研组研读普通高中语文课程标准，围绕“课程实施的整合”展开讨论，下列不正确的是（）。,对课程内容而言，“整合”的核心是多角度解读文体的内涵。,从学习方式上来看，“整合”是综合组织三大语文实践活动。,对于学习资源来说，“整合”可选择除教材以外的其他资源。,“整合”需要创设具有真实性、开放性、挑战性的学习情境。,A,语文
10,阅读《红楼梦》整本书阅读说课片段，按照要求回答问题。《红楼梦》是长篇章回体小说，规模大，人物多，情节复杂，教学时，我从以下几个方面指导学生阅读：要求学生认真阅读前五回，把握这部分内容在全书中的纲领作用；抓住“以贾府为中心，叙述四大家族由鼎盛走向衰败的过程”和“以宝黛爱情悲剧为中心，叙述大观园中人物的命运”两条情节主线，梳理“家门败落”“人物聚散”两方面内容，体会小说纵横交错的结构特点；在阅读过程中理清主要人物之间的关系，欣赏作者对人物形象的细腻描写，把握人物复杂的性格和丰富的内心世界，能更好地理解作品的内涵和主旨；品味作者日常生活细节的精妙刻画；了解书中反映的社会关系与生活习俗；领悟小说的社会意义。除此之外，我鼓励学有余力的同学品味和欣赏小说语言表达的精彩之处。对上述片段的理解和分析，不正确的是（）。,“把握前五回”是根据前五回在整本书中的重要地位设计的。,“抓住两条主线”目的是引导学生整体把握作品的艺术结构。,“理清人物关系”应该成为欣赏整部小说人物形象的核心环节。,“品味欣赏语言”可再突出，这更利于落实文学作品阅读要求。,C,语文
