index,content,A,B,C,D,ans
1,高校教师来源的构成状况是指（）。,专业结构,学缘结构,学历结构,职务结构,B
2,根据《教育法》和《教师法》，“进行教育教学活动，开展教育教学改革和实验”，是教师的（）。,教育教学权,科学研究权,民主管理权,A和C,A
3,夸美纽斯说，“教师的职务是用自己的榜样教育学生”，这表明教师具有（）的角色。,传道者,管理者,示范者,社会服务者,C
4,中国高校教师的职务分为（）级。,三,四,五,六,B
5,1966年，国际劳动工组织、联合国教科文组织联合建议——（）中提出应该把教师工作视为专门职业,《教育法》,《教师法》,《关于教师地位的建议》,《国际标准职业分类》,C
6,教师工作的对象是充满生命力、千差万别的个体，传授的内容是不断发展变化的科学知识和人文知识，这就决定教师的工作不是一劳永逸的，教师具有（）的角色。,传道者,社会服务者,示范者,研究者,D
7,教师对教师职业的意义和价值的认识，对教师职业的社会期望的认识，以及由此形‘成的强烈的从业、乐业、敬业的动机，属于教师的()。,专业情操,专业信念,专业态度,专业知识,B
8,（）的掌握和运用程度是衡量教师职业专业化水平的最重要的标志。,专业技能,专业情操,专业知识,教学方法,C
9,决定一个人社会地位的最重要的因素是（）。,教育程度,家庭背景,种族,职业,D
10,承担领导本学科教学、科学研究工作，根据需要并通过评审确认后指导博士研究生职责的高等学校教师职务是（）。,助教,讲师,副教授,教授,D
11,适用于帮助开设新课的教师提高相应的专业知识水平和教学能力的教师培养形式是（）,岗前培训班,单科进修班,助教进修班,知识讲座,A
12,主要用于培养骨干教师和学术带头人的高校教师培养形式是（）,助教进修班,旁听研究生班,研讨班,国内进修、专题研讨班,D
13,教师成长过程中，独立工作积累经验阶段一般要经过（）,1～2年,2～3年,3～4年,4～5年,D
14,一般来讲，以培养研究生和科学研究为主的高校，其教师职务结构多为（）,“卵型”,“金字塔型”,“倒金字塔型”,以上都不是,C
15,现代学位制度确立的标志是德国柏林大学创设的（）。,文学博士学位,医学博士学位,理学博士学位,哲学博士学位,D
16,以社区学院、电视大学、开放大学等多元化的高教形式为显著特点的国家是（）。,法国,日本,美国,德国,C
17,中国学位授予的权利机构是（）。,国家教育部,国务院学位委员会,各授予单位的学位评定委员会,各省市自治区的学位办公室,C
18,东南亚国家和地区高等学校招生主要实行（）,统一考试制度,单独考试制度,推荐入学制度,高中证书制度,A
19,目前中国大学毕业生就业实行（）。,供需见面双向选择的分配制度,指令性和指导性计划相结合的制度,统一分配制度,自主择业制度,D
20,在中国，高校教师的职务资格认定和职务设置包括（）级。,三,四,五,六,B
21,最早的研究生教育出现在19世纪的（）。,德国,英国,美国,法国,A
22,高等教育主要由地方举办，且不同程度上受中央政府的影响，这种高等教育办学模式是（）。,单一公立系统，单一管理部门,单一公立系统，多重管理部门,多重公立系统，多重管理部门,私立和公立系统，多重管理部门,C
23,中国教师聘任的主要形式有招聘、续聘、解聘及（）。,缓聘,辞聘,拒聘,受聘,B
24,中国高校教师的聘用期限一般为（）年。,1,2,3,4,B
25,法国的（）的培养对象是各种技术人才，其生源既可以是高中应届毕业生，也可以是在职工人,短期大学,初级学院,社区学院,短期技术大学,D
26,（）的高等教育办学模式为“私立和公立系统，多重管理部门”。,英国,法国,美国,意大利,C
27,普通高等学校的夜大学的学习年限一般为（）。,2年,3年,4年,5年,B
28,15世纪末，硕士一般授予（）学生。,文科,神科,法科,医科,A
29,中国现代学位制度最早形成于（）。,建国初期,民国时期,20世纪80年代,20世纪90年代,B
30,下列哪项不属于博士学位的学术标准？（）,掌握本门学科坚实宽广的基础理论和系统深入的专门知识,具有独立从事科学研究的能力,在科学或专门技术上做出创造性的成果,具备相应专业的教育教学能力,D
31,美国在高等教育宏观管理体制上采用（）。,中央集权制,权力分散型,集权与分权结合型,以上都不是,B
32,高等教育的管理体制结构属于地方分权制的国家是（）。,法国,俄罗斯,美国,英国,C
33,政府对高校的管理和领导应通过立法、经费调配等手段进行间接控制，其主要目的是（）。,增强高等教育的办学自主权,建立新的高等教育投资体制,形成新的教育教学体制,提高高等学校的办学效益和工作效率,D
34,1989年以法律的形式确定的中国高等学校的领导体制是（）。,校长负责制,党委领导下的校长负责制和校长负责制并存,党委领导下的校长分工负责制,党委领导下的校长负责制,D
35,中国目前形成的高等教育管理模式是（）,集权模式,集权与分权管理相结合的模式,分权模式,并重模式,B
36,（）最早产生于美国，后成为西方国家，尤其是美国高校管理制度的一大特色。,教授治校,委员会制,大学董事会制度,校长负责制,C
37,中国高等学校在1950～1955年期间实行的是（）。,校长负责制,党委领导下的校长负责制,党委领导下的校长分工负责制,党委领导下的校务委员会负责制,A
38,()是欧美各国普遍采取的大学管理模式。,教授治校,委员会制,大学董事会制度,校长负责制,B
39,适用于规模较小的学校，由上级首长对下级下达命令的组织形式为（）。,职能制组织结构,直线一职能制组织结构,矩阵式组织结构,直线制组织结构,D
40,高等学校行政管理系统在结构上基本分为（）个层次。,2,3,4,5,B
41,以学术权力为主，高校内部权力重心明显倾向于基层教学和研究单位，并深刻体现了学术权威影响的高校管理模式是（）。,美国模式,英国模式,欧洲大陆模式,并重模式,C
42,以下不属于中国高校办学自主权的是（）。,一定的招生权,对外学术交流与合作的权力,教师及其他专业技术人员的职务评聘权,教学、科研和行政职能部门等组织机构的设置和人事配备权,D
43,高等教育可以分为专科教育、本科教育和研究生教育，这指的是（）。,高等教育的层次结构,高等教育的科类结构,高等教育的形式结构,高等教育的分布结构,A
44,高等教育在中国可分为工、农、林、医、师范、财经、政法等13大类，这指的是（）,高等教育的层次结构,高等教育的科类结构,高等教育的形式结构,高等教育的分布结构,B
45,中国高等教育的办学结构为（）。,私立主导型,双轨型,公立主导型,混合型,C
46,以下属于高等教育结构中的微观结构的是（）,层次结构,形式结构,课程结构,地域结构,C
47,以下属于高等教育结构中的宏观结构的是（）,能级结构,学科专业结构,教材结构,队伍结构,A
48,美国高等教育大众化的进程是从（）开始的。,18世纪50年代,20世纪50、60年代,19世纪30年代,20世纪30年代,B
