index,content,image,A,B,C,D,ans
1,按照给出图形的特点，下列选项中，填入空格处最恰当的是()。,1,A,B,C,D,D
2,天气图形符号是公共气象服务中传递阴晴雨雪风雷等气象信息的基本方式之一，在各类新闻媒体上广泛使用。下列天气图形符号中，表示“沙尘暴”的是（）。,2,A,B,C,D,C
3,下列安全意识中表示“当心触电”的是,3,A,B,C,D,A
4,下表是100名同学不同试卷的难度和区分度的统计，下列选项说法不正确的是()。,4,甲难度适中，区分度低,乙难度低，区分度低,丙难度低，区分度低,丁难度低，区分度低,C
5,下列为某校的学生成绩，如使用Excel进行统计，与其他学校比较某科目平均分、方差及高分段人数。下列选项中，不需要的公式是()。,5,=COUNTIFS,=SUM,=AVERAGE,=VAR,B
6,右边这幅画的作者自称自号“梅花屋主”，以画墨梅闻名，这位画家是（）。,6,阎立本,王冕,文徵明,石涛,B
7,在Excel中，如果B2单元格的内容为数值15，B3单元格的内容为数值10（如下图），则B4单元格中公式“=$B$2+B3*2”的值为（  ）。,7,5,25,35,40,C
8,如图所示，在excel中单击单元格一二欲求出甲班20名学生成绩的中位数。应输入的公式是?,8,SUM(A1:D1),MEDIAN(A1:D1),MODE(A1:D1),AVERAGE(A1:D1),B
9,阅读某教师《岳阳楼记》的作业设计，按照要求答题。对下图作业设计的相关分析，正确的是（）。,9,作业目标指向理解古人寄托于山水名胜中的情怀,作业设计关注了文言词语的积累及文言语感的培养,作业设计以文言概念为出发点，以文言知识为落脚点,由于学生无法完成必做作业，教师又设计了选做作业,B
10,图中所示的乐器是（）。,10,编钟,编磬,方响,柷,A
11,下列谱例出自哪个少数民族的民歌？,11,布依族,哈萨克族,蒙古族,朝鲜族,B
12,下列谱例出自哪部芭蕾舞作品？,12,《天鹅湖》,《葛蓓莉亚》,《睡美人》,《胡桃夹子》,A
13,下列哪种乐器经常在巴洛克时期的器乐作品中演奏通奏低音？,13,A,B,C,D,D
14,下面谱例出自贝多芬的作品，这首作品属于哪种舞曲？,14,回旋曲,小夜曲,萨拉曼德,小步舞曲,D
15,下面谱例中的音乐体现了哪种舞曲的节奏特点？,15,玛祖卡,波尔卡,圆舞曲,塔兰泰拉,C
16,下列哪个选项是拉丁美洲音乐中常见的代表乐器？,16,A,B,C,D,C
17,下面谱例中的音乐旋律体现了哪种调式的特点？,17,五声调式,小调式,大调式,中古调式,A
18,下面谱例中的音乐旋律体现了哪种调式的特点？,18,模进,模仿,倒影,逆行,A
19,下列哪种乐器具有固定音高？,19,A,B,C,D,B
20,如图，宋代《白瓷孩儿枕》由哪个名窑烧制？,20,汝窑,定窑,官窑,钧窑,B
21,如图，“三百石印富翁”印章的作者是？,21,吴昌硕,张大千,齐白石,李可染,C
22,如图，世界文化遗产吴哥窟位于？,22,尼泊尔,印度,柬埔寨,日本,C
23,如图，现代雕塑作品《斜倚的人体》的作者是？,23,奥古斯都·罗丹,贝尼尼,马约尔,亨利·摩尔,D
24,如图，该建筑是著名建筑大师贝聿铭为某地设计的富有创意、地域特色浓郁的博物馆，其灵感来源于下列选项中的哪种建筑样式？,24,西藏民居,徽州民居,苏州民居,北京民居,C
25,如图，有关该作品描述不正确的是？,25,《自由引导人民》是德拉克洛瓦名作，现藏于法国巴黎卢浮宫,作品动感强烈，主体突出，是浪漫主义的代表作品,以法国民众抗争为题材，以希腊女神为象征，引导民众前进,作品色彩对比强烈，造型严谨，展现了古典主义绘画的特点,D
26,如图，谚语“十斤狮子九斤头，一斤尾巴掉后头”。这说明民间美术中表现狮子的常用手法是？,26,变形与夸张,写实与表现,抽象与提取,还原与写生,A
27,如图，该教学过程体现的教学行为是？,27,分析作品的创作过程,了解民间工艺过程,示范浮雕的制作过程,展示泥塑创作过程,C
28,甲、乙、丙三位学生参加期末测试，成绩如下表，学生成绩方差最大的是（）。,28,语文,数学,英语,政治,B
29,红火蚁（如图）是最具危险性的入侵物种之一，红火蚁群体中有工蚁、兵蚁和生殖蚁，红火蚁繁殖力强，春夏雨水较多，是其繁殖的高峰期。下列叙述正确的是（）。,29,红火蚁具有社群行为的基本特征,红火蚁属于无脊椎动物中的环节动物,红火蚁繁殖力强缘自缺乏天敌的制约,影响红火蚁繁殖的主要环境因素为温度,A
30,如图为某品牌风味发酵乳产品外包装上的营养成分信息，该产品脂肪含量比普通酸奶高得多（普通酸奶不超过3%），碳水化合物（糖类）含量比普通酸奶低得多（普通酸奶通常在10%~15%之间）。下列叙述正确的是（）。,30,发酵乳含有的脂肪成分为不饱和脂肪酸,白砂糖是该产品的全部碳水化合物来源,发酵乳是通过乳酸菌进行发酵而形成的,蛋白质在发酵中完成肽链的卷曲、折叠,C
